5,3,1,2,High-Risk
9,3,4,2,High-Risk
4,3,3,2,High-Risk
6,1,5,2,High-Risk
5,6,4,2,High-Risk
5,9,7,4,High-Risk
6,4,4,3,High-Risk
5,4,5,2,High-Risk
4,9,4,2,High-Risk
4,1,5,1,High-Risk
5,7,5,2,High-Risk
4,4,6,2,High-Risk
4,0,4,1,High-Risk
3,0,1,1,High-Risk
8,0,2,0,High-Risk
5,4,5,4,High-Risk
5,9,1,4,High-Risk
5,5,4,3,High-Risk
5,8,7,3,High-Risk
5,8,5,3,High-Risk
5,3,1,2,High-Risk
5,7,5,4,High-Risk
6,6,1,2,High-Risk
5,3,7,0,High-Risk
4,4,1,2,High-Risk
0,3,6,2,High-Risk
5,4,6,4,High-Risk
2,5,5,2,High-Risk
5,4,4,2,High-Risk
4,2,6,2,High-Risk
4,1,1,2,High-Risk
5,4,5,4,High-Risk
5,1,5,1,High-Risk
5,2,4,0,High-Risk
4,1,5,1,High-Risk
5,2,2,2,High-Risk
5,3,1,2,High-Risk
9,3,5,1,High-Risk
4,0,3,2,High-Risk
5,4,5,2,High-Risk
5,5,3,3,High-Risk
4,3,3,3,High-Risk
4,3,3,2,High-Risk
5,5,6,6,High-Risk
5,8,9,4,High-Risk
4,0,4,3,High-Risk
5,8,6,2,High-Risk
4,2,4,2,High-Risk
5,7,5,2,High-Risk
5,3,4,2,High-Risk
7,2,7,4,Low-Risk
4,2,5,5,Low-Risk
6,1,9,5,Low-Risk
5,2,0,3,Low-Risk
5,8,6,5,Low-Risk
5,2,5,3,Low-Risk
6,3,7,6,Low-Risk
9,4,3,0,Low-Risk
6,2,6,1,Low-Risk
5,2,9,4,Low-Risk
5,2,5,0,Low-Risk
5,3,2,5,Low-Risk
6,2,0,0,Low-Risk
6,9,7,4,Low-Risk
5,9,6,3,Low-Risk
6,1,4,4,Low-Risk
6,0,5,5,Low-Risk
8,7,4,1,Low-Risk
6,2,5,1,Low-Risk
5,5,9,1,Low-Risk
5,2,8,8,Low-Risk
6,8,0,3,Low-Risk
3,5,9,5,Low-Risk
6,8,7,2,Low-Risk
6,9,3,3,Low-Risk
6,0,4,4,Low-Risk
6,8,8,4,Low-Risk
6,0,0,7,Low-Risk
6,2,5,5,Low-Risk
5,2,3,0,Low-Risk
5,4,8,1,Low-Risk
5,4,7,0,Low-Risk
5,7,9,2,Low-Risk
6,7,1,6,Low-Risk
5,3,5,5,Low-Risk
6,4,5,6,Low-Risk
7,1,7,5,Low-Risk
6,2,4,3,Low-Risk
5,3,1,3,Low-Risk
5,2,0,1,Low-Risk
5,6,4,2,Low-Risk
6,3,6,1,Low-Risk
5,6,4,1,Low-Risk
5,2,3,0,Low-Risk
5,2,2,3,Low-Risk
5,3,2,1,Low-Risk
5,2,2,3,Low-Risk
2,2,3,3,Low-Risk
5,5,0,1,Low-Risk
5,2,1,1,Low-Risk
3,3,6,5,Not-Too-Sure
5,2,1,9,Not-Too-Sure
7,0,9,1,Not-Too-Sure
3,2,6,8,Not-Too-Sure
6,3,8,2,Not-Too-Sure
7,0,6,1,Not-Too-Sure
9,2,4,1,Not-Too-Sure
7,2,3,8,Not-Too-Sure
6,2,8,8,Not-Too-Sure
3,3,6,2,Not-Too-Sure
6,2,1,2,Not-Too-Sure
4,7,5,9,Not-Too-Sure
6,0,5,1,Not-Too-Sure
5,2,0,0,Not-Too-Sure
5,2,1,4,Not-Too-Sure
6,3,5,3,Not-Too-Sure
6,0,5,8,Not-Too-Sure
7,3,6,2,Not-Too-Sure
7,2,9,3,Not-Too-Sure
6,2,0,5,Not-Too-Sure
9,2,7,3,Not-Too-Sure
5,2,9,0,Not-Too-Sure
7,2,7,2,Not-Too-Sure
6,2,9,8,Not-Too-Sure
6,3,7,1,Not-Too-Sure
7,2,0,8,Not-Too-Sure
6,8,8,8,Not-Too-Sure
6,0,9,8,Not-Too-Sure
6,2,6,1,Not-Too-Sure
7,0,8,6,Not-Too-Sure
7,8,1,9,Not-Too-Sure
7,8,4,0,Not-Too-Sure
6,2,5,2,Not-Too-Sure
6,8,1,5,Not-Too-Sure
6,2,5,1,Not-Too-Sure
7,0,1,2,Not-Too-Sure
6,3,6,4,Not-Too-Sure
6,1,5,8,Not-Too-Sure
6,0,8,8,Not-Too-Sure
6,1,4,1,Not-Too-Sure
6,3,5,2,Not-Too-Sure
6,1,1,3,Not-Too-Sure
5,2,1,9,Not-Too-Sure
6,3,5,3,Not-Too-Sure
6,3,7,2,Not-Too-Sure
6,3,5,2,Not-Too-Sure
6,2,5,9,Not-Too-Sure
6,3,5,2,Not-Too-Sure
6,3,5,2,Not-Too-Sure
59,30,51,180

